short-name,Runs in Total,Longest Run,Skiable Terrain,Snow Making,Beginners Runs,Intermediate Runs,Advanced Runs,Expert Runs,Night Skiing
snow-summit,27,1.2 mi,240 ac,240 ac,19%,48%,26%,7%,150 ac
snowshoe-mountain-resort,61,1.5 mi,257 ac,257 ac,40%,33%,25%,2%,86 ac
solitude-mountain-resort,87,3 mi,1200 ac,150 ac,5%,31%,46%,18%,
steamboat,169,3 mi,2965 ac,375 ac,,,,,30 ac
stratton-mountain,99,3 mi,670 ac,474 ac,,,,,
sugarloaf,162,3.5 mi,1240 ac,618 ac,22%,32%,26%,20%,
sunday-river,135,3 mi,878 ac,552 ac,30%,36%,18%,16%,140 ac
boyne-highlands,53,1.2 mi,435 ac,400 ac,36%,31%,31%,2%,150 ac
the-summit-at-snoqualmie,65,0.8 mi,1994 ac,5 ac,15%,40%,45%,,541 ac
tremblant,102,3.7 mi,754 ac,465 ac,19%,30%,37%,13%,
windham-mountain,18.2 mi,2 mi,285 ac,280 ac,20%,48%,19%,13%,45 ac
winter-park-resort,168,4.9 mi,3081 ac,313 ac,24%,22%,50%,4%,
