short-name,Run Type,Percentage
panorama-mountain,Intermediate Runs,35
snow-summit,Intermediate Runs,48
snowshoe-mountain-resort,Intermediate Runs,33
solitude-mountain-resort,Intermediate Runs,31
steamboat,Intermediate Runs,
stratton-mountain,Intermediate Runs,
sugarloaf,Intermediate Runs,32
sunday-river,Intermediate Runs,36
boyne-highlands,Intermediate Runs,31
the-summit-at-snoqualmie,Intermediate Runs,40
tremblant,Intermediate Runs,30
windham-mountain,Intermediate Runs,48
winter-park-resort,Intermediate Runs,22
alta-ski-area,Advanced Runs,
aspen-snowmass,Advanced Runs,
big-sky-resort,Advanced Runs,42
coronet-peak,Advanced Runs,26
jackson-hole,Advanced Runs,38
lake-louise,Advanced Runs,
mammoth-mountain-ski-area,Advanced Runs,24
squaw-valley-usa,Advanced Runs,
revelstoke-mountain,Advanced Runs,
snowbasin,Advanced Runs,47
snowbird,Advanced Runs,43
sugarbush,Advanced Runs,27
sun-valley,Advanced Runs,
sunshine-village,Advanced Runs,48
taos-ski-valley,Advanced Runs,30
the-remarkables,Advanced Runs,10
thredbo-alpine-resort,Advanced Runs,
valle-nevado,Advanced Runs,35
afton-alps,Advanced Runs,29
folgaria,Advanced Runs,34
andalo-fai-della-paganella,Advanced Runs,57
beaver-creek,Advanced Runs,24
breckenridge,Advanced Runs,36
brides-les-bains,Advanced Runs,37
courchevel,Advanced Runs,33
crested-butte-mountain-resort,Advanced Runs,25
falls-creek-alpine-resort,Advanced Runs,
fernie-alpine,Advanced Runs,
folgarida-marilleva,Advanced Runs,48
heavenly-mountain-resort,Advanced Runs,25
keystone,Advanced Runs,41
kicking-horse,Advanced Runs,
kimberley,Advanced Runs,
kirkwood,Advanced Runs,
la-tania,Advanced Runs,33
les-menuires,Advanced Runs,28
madonna-di-campiglio,Advanced Runs,38
meribel,Advanced Runs,40
mont-sainte-anne,Advanced Runs,20
monte-bondone,Advanced Runs,74
mount-sunapee,Advanced Runs,11
mount-brighton,Advanced Runs,24
mt-hotham,Advanced Runs,43
nakiska-ski-area,Advanced Runs,21
nendaz,Advanced Runs,54
northstar-california,Advanced Runs,27
okemo-mountain-resort,Advanced Runs,21
orelle,Advanced Runs,36
park-city-mountain-resort,Advanced Runs,28
pejo,Advanced Runs,65
perisher,Advanced Runs,
pinzolo,Advanced Runs,41
pontedilegno-tonale-adamello-ski,Advanced Runs,61
